"","X","ANO","ED5","SEXO","ESC","FREC.cr"
"1",1,1,1,0,1,8
"2",2,2,1,0,1,10
"3",3,3,1,0,1,19
"4",4,4,1,0,1,16
"5",5,5,1,0,1,21
"6",6,1,2,0,1,36
"7",7,2,2,0,1,35
"8",8,3,2,0,1,33
"9",9,4,2,0,1,53
"10",10,5,2,0,1,41
"11",11,1,3,0,1,67
"12",12,2,3,0,1,84
"13",13,3,3,0,1,124
"14",14,4,3,0,1,112
"15",15,5,3,0,1,130
"16",16,1,4,0,1,151
"17",17,2,4,0,1,150
"18",18,3,4,0,1,222
"19",19,4,4,0,1,247
"20",20,5,4,0,1,206
"21",21,1,5,0,1,353
"22",22,2,5,0,1,443
"23",23,3,5,0,1,569
"24",24,4,5,0,1,617
"25",25,5,5,0,1,708
"26",26,1,1,1,1,4
"27",27,2,1,1,1,8
"28",28,3,1,1,1,6
"29",29,4,1,1,1,13
"30",30,5,1,1,1,7
"31",31,1,2,1,1,17
"32",32,2,2,1,1,14
"33",33,3,2,1,1,10
"34",34,4,2,1,1,20
"35",35,5,2,1,1,22
"36",36,1,3,1,1,16
"37",37,2,3,1,1,28
"38",38,3,3,1,1,28
"39",39,4,3,1,1,36
"40",40,5,3,1,1,50
"41",41,1,4,1,1,41
"42",42,2,4,1,1,51
"43",43,3,4,1,1,68
"44",44,4,4,1,1,70
"45",45,5,4,1,1,80
"46",46,1,5,1,1,78
"47",47,2,5,1,1,95
"48",48,3,5,1,1,142
"49",49,4,5,1,1,140
"50",50,5,5,1,1,142
"51",51,1,1,0,2,10
"52",52,2,1,0,2,19
"53",53,3,1,0,2,41
"54",54,4,1,0,2,36
"55",55,5,1,0,2,30
"56",56,1,2,0,2,63
"57",57,2,2,0,2,61
"58",58,3,2,0,2,105
"59",59,4,2,0,2,100
"60",60,5,2,0,2,101
"61",61,1,3,0,2,141
"62",62,2,3,0,2,162
"63",63,3,3,0,2,245
"64",64,4,3,0,2,319
"65",65,5,3,0,2,331
"66",66,1,4,0,2,258
"67",67,2,4,0,2,334
"68",68,3,4,0,2,526
"69",69,4,4,0,2,594
"70",70,5,4,0,2,591
"71",71,1,5,0,2,630
"72",72,2,5,0,2,785
"73",73,3,5,0,2,1440
"74",74,4,5,0,2,1569
"75",75,5,5,0,2,1753
"76",76,1,1,1,2,13
"77",77,2,1,1,2,7
"78",78,3,1,1,2,24
"79",79,4,1,1,2,48
"80",80,5,1,1,2,32
"81",81,1,2,1,2,45
"82",82,2,2,1,2,57
"83",83,3,2,1,2,80
"84",84,4,2,1,2,73
"85",85,5,2,1,2,94
"86",86,1,3,1,2,72
"87",87,2,3,1,2,98
"88",88,3,3,1,2,168
"89",89,4,3,1,2,188
"90",90,5,3,1,2,178
"91",91,1,4,1,2,141
